id,nome,categoria,detalhes,exemplos
50,Sensibilidade moral,6,"Capacidade de sentir moralmente afetado por conflitos e captar os aspectos das situações. A sensibilidade moral supera a empatia, pois consiste em se colocar no lugar do outro.",
49,Julgamento moral,6,"Capacidade que permite reconhecer e refletir sobre situações que apresentam relação com valores.
Permite ainda julgar a situação com isenção de ânimo, sem se envolver emocionalmente, a partir de determinados valores, parâmetros técnicos e dos objetivos estabelecidos para a atividade ou missão.",
48,Disciplina consciente,6,"Capacidade que permite ao discente agir em conformidade com normas, leis e regulamentos que regem a instituição, voluntariamente, sem necessidade de coação externa.",
47,Empatia,6,"Capacidade que permite compreender os sentimentos, ideias e valores das pessoas, da comunidade especifica ou sociedade.",
46,Contextualização moral,6,"Capacidade que permite realizar a reflexão moral, aplicando os valores a situações particulares, considerando aspectos específicos das pessoas envolvidas, e os motivos das suas ações.",
45,Autoconhecimento,6,"Capacidade de construção do conceito sobre si mesmo, sobre a sua própria identidade.",
44,Curiosidade intelectual,5,Investigar voluntariamente as peculiaridades e as inovações dos aspectos técnicos da sua atividade profissional.,
43,Criatividade,5,"Produzir novos dados, ideias e/ou realizando combinações originais, na busca de uma solução eficiente e eficaz.",
42,Autoaperfeiçoamento,5,"Agir voluntariamente no sentido de melhorar seus conhecimentos, capacidades, atitudes e valores.",
41,Rusticidade,4,"Adaptar-se a situações de restrição e/ou privação, mantendo a eficiência.",
40,Cumprimento de missão,4,Depender todos os esforços e sacrifícios para realizar as ações profissionais determinadas pela autoridade competente.,
39,Coragem Moral,4,"Agir de forma firme e destemida, expondo-se perante o superior, pares ou subordinados, com a possibilidade de sofre algum prejuízo pessoal, no sentido do cumprimento da missão.",
38,Coragem física,4,"Agir, de forma firme e destemida, em situações de ameaça à integridade física, no sentido do cumprimento da missão.",
37,Combatividade,4,"Atuar sem esmorecer, e defender as ideias e causas em que acredita ou aquelas sob a sua responsabilidade.",
36,Comando,4,Conduzir militares sob a sua responsabilidade ao cumprimento adequado da missão,
35,Apresentação,3,"Preocupar-se com sua imagem, com o intuito de que seja condigna com a sua condição de militar do Exercito Brasileiro, primando por sua postura, uniforme, corte de cabelo, aparência e higidez física.",
34,Zelo,3,Cuidar dos bens móveis e imóveis que estão ou não sob a sua responsabilidade.,
33,Tato,2,"Agir, na relação com as pessoas, sem ferir suscetibilidades.",
32,Sobriedade,3,"agir com austeridade em relação a hábitos, costumes e procedimentos na vida particular e profissional.",
31,Resposabilidade,3,"Cumprir adequadamente as atribuições de seu cargo, função e postos, assumindo e enfrentando as consequências de suas atitudes e decisões.",
30,Resiliência,3,"Predisposição a recuperar-se rapidamente após a ocorrência de contratempos, choque, lesões, adversidades e estresse.",
29,Planejamento,3,"Antecipar-se a fatos e situações, antevendo alternativas viáveis, de modo a evitar e/ou eliminar possíveis falhas na execução de uma tarefa.",
28,Persistência,3,"Manter-se em ação continuadamente, a fim de executar uma tarefa, vencendo as dificuldades encontradas.",
27,Persuasão,3,Convencer pessoas a adotarem ideias ou atitudes que interessem ao cumprimento da missão.,
26,Organização,3,Desenvolver atividades profissionais de forma sistemática e metódica,
25,Objetividade,3,Destacar o fundamental do supérfluo para a realização de uma tarefa ou solução de um problema.,
24,Meticulosidade,3,Agir atendo-se às minúcias relevantes para o desempenho profissional.,
23,Iniciativa,3,"Agir de forma adequada e oportuna, em conformidade com as demandas da missão, sem depender de ordem ou decisão superior.",
22,Flexibilidade,3,"Ajustar-se apropriadamente às mudanças, reformulando planejamentos e comportamentos, com prontidão, diante de novas exigências.",
21,Discrição,3,Manter reserva sobre fatos de seu conhecimento que não devam ser divulgados.,
20,Disciplina Intelectual,2,Adotar e defender a decisão superior e/ou do grupo mesmo tendo opinado em contrário.,
19,Direção,3,"Conduzir processos gerenciais, atividades administrativas e pessoas de forma a atingir os resultados almejados.",
18,Dinamismo,3,"Agir, ativamente, buscando adaptar-se às contingências ambientais de maneira eficaz e proativa.",
17,Dedicação,3,Realizar as atividades necessárias ao cumprimento da missão com empenho e entusiasmo.,
16,Decisão,3,"Optar pela alternativa mais adequada, em tempo útil e com convicção, evitando a omissão, a inação ou a ação intempestiva.",
15,Comunicação,3,"Transmitir de maneira eficaz os argumentos e compreender a argumentação alheia, obtendo troca construtiva de informações.",
14,Adaptabilidade,3,Ajustar-se apropriadamente a quaisquer mudanças de situações.,
13,Abnegação,3,"Agir, renunciando aos interesses pessoais, integridade física e conforto em favor da instituição, grupos e/ou pessoas, no sentido do cumprimento da missão.",
12,Sociabilidade,2,"Agir, relacionando-se com outros por meio de ideias e ações de modo adequado, considerando os seus sentimentos e ideias, sem ferir suscetibilidades.",
11,Tolerância,2,"Respeitar as regras de convivência social; diferenças de gênero e de cultura; ideias, comportamentos e atitudes diferentes dos seus.",
10,Proatividade,2,"Adotar medidas, por antecipação, para evitar ou resolver futuros problemas.",
9,Lealdade,2,"Agir, sendo fiel a pessoas e grupos, considerando as necessidades da instituição, de modo a inspirar confiança.",
8,Honestidade,2,"Agir no sentido de reconhecer os direitos de propriedade de outrem. A honestidade se relaciona também com as atitudes de sinceridade e transparência na expressão de ideias e sentimentos, enfatizados a expressão da verdade. A honestidade, na cultura militar, exprimi-se também no cumprimento da palavra dada.",
7,Equilíbrio Emocional,2,"Agir, controlando as próprias reações emocionais e sentimentos, para se conduzir de modo apropriado, nas diferentes situações.",
6,Cooperação,2,Contribuir espontaneamente para o trabalho de alguém e/ou de uma equipe.,
5,Coerência,2,"Agir em conformidade com as próprias ideias e valores, em qualquer situação.",
4,Camaradagem,2,"Agir, relacionando-se de modo solidário, cordial - por meio da escuta empática e prestação de serviços.",
3,Honra,1,"Agir, no sentido de se fazer respeitar perante a si mesmo e outros.",- Não fugir diante do perigo para preservar as tradições de sua Unidade.
2,Autocrítica,1,"Agir de maneira a avaliar as próprias potencialidades e limitações frente à ideias, sentimentos e/ou ações.",
1,Autoconfiança,1,"Agir com segurança e convicção nas próprias capacidades e habilidades, em diferentes circunstâncias. Está relacionado a atitude de iniciativa.",- Apresentar-se confiante na realização dos trabalhos que lhe são afetos.
