id,nome,codigo,descricao,capa
1,Instrução Individual Basica,IIB,Formação básica do soldado - Recruta,
2,Instrução Individual de Qualificação,IIQ GLO,Qualificação do Cabo e Soldado – Instrução de Garantia da Lei e da Ordem,
3,Instrução Individual de Qualificação,IIQ COMUM,"Qualificação do Cabo e Soldado – Instrução Comum, aptos a ocupar cargos correspondentes às suas funções nas diversas Organizações Militares, e conduzi-los à condição de Reservista de Primeira Categoria (Combatente Mobilizável).",
4,Instrução Individual de Qualificação,IIQ INFA,Qualificação do Cabo e Soldado na arma de infantaria,
5,Instrução Individual de Qualificação,IIQ CAV,Qualificação do Cabo e Soldado na arma de cavalaria,
6,Instrução Individual de Qualificação,IIQ ART,Qualificação do Cabo e Soldado na arma de artilharia,
7,Instrução Individual de Qualificação,IIQ ENG,Qualificação do Cabo e Soldado na arma de engenharia,
8,Instrução Individual de Qualificação,IIQ COM,Qualificação do Cabo e Soldado na arma de comunicações,
20,Curso de Formação de Sargentos Temporários,CFST COMUM,Curso de Formação de Sargentos Temporários – Instrução Comum,
21,Curso de Formação de Sargentos Temporários,CFST INFA,Curso de Formação de Sargentos Temporários na arma de infantaria,
30,Estagio de Adaptação a Vida na Selva,EAVS,Estagio de Adaptação a Vida na Selva,
31,Estagio de Adaptação ao Pantanal,EAPan,Estagio de Adaptação ao Pantanal,
32,Estagio de Adaptação à Caatinga,EACa,Estagio de Adaptação à Caatinga,
